model,config,hidden,layers,dropout,epochs,lr,MAE,RMSE,MAPE,train_s,n_params,channels,levels,kernel,d_model,nhead,ff
LSTM,baseline,64.0,2.0,0.1,30,0.001,93.66,134.83,11.7901,119.8,50497,,,,,,
LSTM,larger hidden,128.0,2.0,0.1,30,0.001,99.43,137.4,14.8106,453.7,199297,,,,,,
LSTM,deeper (3 layers),64.0,3.0,0.1,30,0.001,98.17,139.92,12.6831,209.1,83777,,,,,,
LSTM,larger+more epochs+lower lr,128.0,2.0,0.2,40,0.0005,101.28,142.2,13.5851,416.2,199297,,,,,,
LSTM,lower lr,64.0,2.0,0.1,30,0.0005,104.38,153.1,12.6317,134.9,50497,,,,,,
TCN,baseline,,,0.1,30,0.001,80.52,117.57,9.0078,116.6,21953,32.0,4.0,3.0,,,
TCN,more channels,,,0.1,30,0.001,87.46,124.64,11.5302,272.6,86913,64.0,4.0,3.0,,,
TCN,more levels,,,0.1,30,0.001,88.32,124.54,11.3458,145.9,28161,32.0,5.0,3.0,,,
TCN,larger kernel+more epochs,,,0.1,40,0.0005,92.94,127.43,13.9043,453.9,144385,64.0,4.0,5.0,,,
TCN,higher dropout,,,0.2,30,0.001,87.72,127.73,10.5889,149.5,21953,32.0,4.0,3.0,,,
Transformer,baseline,,2.0,0.1,30,0.001,105.19,148.68,14.2104,501.2,25505,,,,32.0,4.0,128.0
Transformer,larger d_model,,2.0,0.1,30,0.001,115.6,157.64,14.9282,644.5,100161,,,,64.0,4.0,256.0
Transformer,deeper,,3.0,0.1,30,0.001,119.52,172.65,16.0425,777.5,38209,,,,32.0,4.0,128.0
Transformer,more epochs+lower lr,,2.0,0.1,40,0.0005,108.12,153.14,13.2107,818.4,25505,,,,32.0,4.0,128.0
Transformer,larger+more dropout,,2.0,0.2,30,0.001,129.11,172.73,21.2852,858.4,67137,,,,64.0,4.0,128.0
